Model,Age,Art,Sport,Book/Films,Science,Travel,Cooking,Politics
Mercedes-Benz GLC 300 Base 4MATIC,20,1,1,1,1,1,1,1
BMW X4 xDrive30i,58,1,1,1,1,1,1,0
Honda Civic EX-L,23,1,0,0,0,0,1,0
Ford Mustang Mach-E Premium,47,0,0,0,1,1,1,1
Ford Flex Limited,59,0,0,1,0,0,1,0
Toyota Sienna XSE 7 Passenger,25,1,1,1,0,1,0,0
BMW X5 xDrive40i,45,1,0,1,1,0,0,1
GMC Terrain Denali,39,0,1,1,1,1,1,1
Buick Encore Preferred,40,0,0,0,0,0,0,0
Mercedes-Benz CLA 250 Base 4MATIC,33,1,0,1,0,0,1,0
Jeep Grand Cherokee Trailhawk,20,1,0,0,1,1,0,0
Chrysler Aspen Limited,37,1,1,1,1,1,0,0
Audi Q5 Premium Plus,48,1,1,0,0,1,0,0
BMW M5 Competition,26,0,0,0,0,0,1,1
Acura TLX A-Spec,31,0,1,0,1,1,0,1
Toyota Highlander SE,37,1,0,1,1,0,0,0
Kia Optima LX,51,0,1,1,1,1,1,0
Volkswagen Atlas 2.0T S,55,1,1,0,0,1,0,1
Mitsubishi Outlander Sport SE,59,0,1,0,0,1,0,1
Alfa Romeo Stelvio Ti,47,0,1,0,0,1,0,0
Volvo S90 T6 Inscription,39,0,0,1,1,1,1,1
Chevrolet Silverado 1500 RST,35,1,1,1,0,1,1,0
Ford Transit Connect XL,22,0,0,0,0,0,0,1
Mazda Mazda3 AWD w/Preferred Package,29,0,0,1,1,0,0,1
Chevrolet Corvette Grand Sport,19,1,1,0,0,1,0,1
Nissan Murano SV,49,1,1,0,1,1,1,1
Ford F-150 XLT,25,1,0,1,0,0,0,0
Toyota 4Runner TRD Pro,45,1,1,1,1,1,0,0
BMW 440 Gran Coupe i xDrive,36,0,0,1,0,1,0,1
Honda Pilot EX-L w/Navigation/RES,39,1,1,1,0,0,1,1
Subaru Outback 2.5i Limited,38,1,1,1,0,0,1,0
Volvo XC90 T6 Inscription,53,1,0,1,0,0,0,1
Mercedes-Benz E-Class E 63 AMG S-Model 4MATIC,55,1,1,0,0,1,0,0
Genesis G70 2.0T,18,1,1,0,1,0,0,0
Chevrolet Spark 1LT,55,0,0,0,0,0,1,1
Lincoln MKZ Hybrid Reserve I,22,1,0,1,1,0,1,1
INFINITI Q50 3.0T Red Sport 400,47,1,1,0,1,0,1,0
Hyundai Santa Fe SEL 2.4,41,1,0,0,0,1,0,0
Acura RDX Base (A10),41,0,0,1,1,0,0,0
BMW X6 sDrive35i,36,1,0,0,1,1,0,1
Honda Civic Sport,20,0,0,1,0,0,1,0
Subaru Impreza 2.0i Sport,34,0,0,1,0,1,0,1
Cadillac CT4 Premium Luxury,34,1,0,1,1,0,1,1
Land Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,26,0,0,1,1,0,0,1
Chevrolet Traverse High Country,29,0,1,0,1,1,0,1
Subaru Outback Onyx Edition XT,46,1,1,0,1,0,1,1
Kia Forte S,59,1,1,0,0,1,0,0
BMW X5 4.8i,29,1,1,1,0,1,1,1
Chevrolet Traverse LTZ,27,0,1,1,1,0,0,0
Jeep Grand Cherokee Laredo,47,0,0,1,0,1,1,1
Nissan Altima 2.5 SL,21,0,1,0,1,1,0,0
Honda Pilot Special Edition,36,0,0,1,0,1,1,1
Audi A4 Premium Plus,40,1,0,0,1,1,1,0
Lexus NX 300 F-SPORT,33,0,0,0,0,0,1,0
Ford Expedition Platinum,55,1,1,0,1,0,0,0
Chevrolet Impala LS,52,0,1,0,0,0,1,0
Subaru Forester 2.5i Premium,31,1,0,1,0,0,1,1
Mercedes-Benz A-Class A 220 4MATIC,19,0,1,0,0,0,1,1
Honda HR-V Sport,30,0,1,0,0,1,0,0
Land Rover Range Rover P525 HSE,45,0,1,0,0,0,1,1
Nissan Murano Platinum,48,1,0,1,1,1,1,0
Lincoln Navigator L Reserve,34,1,0,1,0,0,0,1
Volvo S60 T5 Premier Plus,52,0,0,1,0,0,0,1
Honda Fit Sport,52,1,1,1,0,1,1,0
Mercedes-Benz G-Class G 550,22,1,1,0,1,0,0,1
Jeep Wrangler X,59,1,1,0,1,0,0,1
BMW 535 i xDrive,40,1,0,1,1,0,1,1
Lexus RX 350 F Sport Performance,29,0,0,1,0,1,0,1
Nissan Murano S,23,1,1,0,0,1,0,1
BMW 540 i xDrive,21,1,0,1,1,0,1,0
Jeep Gladiator Sport,53,0,0,1,0,1,0,0
Jeep Cherokee Latitude Plus,59,1,0,0,1,0,0,0
Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,21,0,1,0,0,1,1,0
Cadillac CTS Premium,24,0,1,1,1,1,0,0
BMW 328 Gran Turismo i xDrive,44,0,1,1,0,1,0,0
Audi Q5 45 Titanium Premium,37,0,1,0,1,0,0,1
Subaru Legacy Touring XT,50,1,0,1,1,0,1,0
Buick Enclave Essence,56,0,0,0,1,1,1,0
Audi A4 45 S line quattro Premium,51,0,1,0,0,0,0,1
Nissan Rogue Platinum,41,0,0,0,1,0,1,1
Toyota Corolla SE,48,0,1,1,0,0,0,0
Lincoln MKZ Select,55,0,1,0,1,1,1,0
BMW 335 335i,56,0,0,0,0,0,1,1
Audi Q7 55 quattro Premium Plus,41,1,0,0,0,0,0,0
Dodge Durango GT,34,1,0,0,0,1,0,0
Land Rover Range Rover Sport 5.0L Supercharged Dynamic,24,0,1,0,1,1,1,0
Mercedes-Benz G-Class G 63 AMG,31,0,1,1,0,0,1,1
Bentley Bentayga Design Edition,31,0,1,0,1,0,1,1
Acura MDX Touring,34,0,0,0,0,0,0,1
Tesla Model S 75D,60,0,0,0,1,1,0,1
Acura TLX w/Technology Package,31,0,0,1,1,0,0,0
Toyota C-HR LE,33,0,1,1,0,1,1,0
Maserati Levante Base,56,0,0,0,1,0,0,1
Land Rover Range Rover Sport HSE Silver Edition,49,0,0,1,0,1,1,1
Mazda CX-9 Signature,31,1,1,1,1,1,1,1
Land Rover Range Rover Westminster,43,1,1,1,0,1,0,0
Ford Flex SEL,52,1,0,0,1,0,0,1
Lexus IS 250 Base,38,0,1,1,0,0,1,0
Volvo XC40 T5 Momentum,55,0,0,0,1,0,1,1
BMW Z4 sDrive35is,51,0,1,0,0,0,0,1
Volvo S90 T6 Momentum,25,0,1,0,0,0,0,0
Ford F-150 Raptor,24,1,1,1,1,1,0,1
Mitsubishi Eclipse GS Sport,29,0,1,1,0,1,1,1
Porsche Panamera Sport Turismo Turbo,49,1,1,0,1,0,1,1
Volvo S60 Momentum,36,0,1,0,1,0,1,0
BMW X5 xDrive35i Premium,53,1,0,0,0,1,1,0
Nissan Pathfinder SL,26,1,0,1,1,0,0,0
Genesis G90 3.3T Premium,37,0,0,0,0,0,0,0
Volkswagen Tiguan 2.0T SE,58,0,0,0,1,0,0,0
Saturn Outlook XR,50,1,1,1,1,1,0,0
Mazda CX-30 Select,42,0,0,1,1,1,1,1
Chevrolet Corvette Stingray,47,1,0,1,0,1,0,1
Audi A3 1.8T Premium Plus,52,1,1,0,0,1,1,0
INFINITI QX80 Limited,22,0,0,0,1,0,0,0
Ford Expedition XLT,22,1,1,0,1,1,0,0
Volvo XC60 3.2 Premier Plus,39,1,0,0,0,1,0,1
Toyota Sequoia SR5,59,0,0,0,0,1,0,1
Porsche 911 Turbo,39,0,1,0,1,0,1,1
Acura TLX Technology Package,34,1,0,0,0,1,0,1
Mercedes-Benz AMG G 63 Base,54,1,0,1,0,0,0,0
BMW 440 i xDrive,24,1,0,0,1,0,1,1
Lexus IS 350 Base,32,0,1,1,0,1,0,0
Land Rover Range Rover Evoque Pure Plus,18,1,1,0,0,1,1,1
Lexus ES 350,40,0,0,0,1,0,0,0
Ford Fiesta SE,57,0,1,0,0,0,1,1
Cadillac Escalade Base,46,0,1,1,0,0,1,0
BMW X5 sDrive35i,34,1,1,0,1,1,1,0
Porsche Cayenne Turbo Coupe AWD,27,1,1,0,1,1,0,0
BMW X5 xDrive50i,41,1,1,0,0,0,1,0
Lexus LS 460 Base,44,1,0,0,1,1,0,0
BMW 430 Gran Coupe i xDrive,53,1,1,0,0,0,1,0
Honda CR-V EX-L,29,1,1,0,1,0,1,1
Alfa Romeo Stelvio Ti Sport,41,1,0,0,0,1,1,1
Volvo XC60 T6,31,1,1,0,1,1,1,0
Cadillac SRX Performance Collection,56,0,1,1,0,0,0,0
Chevrolet Equinox Premier,56,1,1,0,1,0,1,1
Ford Edge Limited,46,1,0,1,0,0,1,0
Subaru Legacy 2.5i Premium,41,1,1,0,0,1,1,1
Mercedes-Benz C-Class C 300,30,1,1,1,1,0,1,1
Volvo XC90 T5 Momentum 7 Passenger,43,1,1,1,0,1,1,0
BMW X3 M40i,50,1,1,1,0,0,1,0
Honda CR-V Hybrid Touring,18,1,0,1,0,0,0,1
Audi Q7 55 Premium,35,1,1,1,1,0,0,0
Lexus NX 300 F Sport,56,1,0,1,0,1,0,0
BMW 330 i xDrive,52,0,0,0,0,1,0,1
Porsche Cayman GT4,47,1,1,1,1,0,0,1
Volvo XC90 T6 R-Design,30,1,0,1,1,0,1,0
Porsche 911 GT3,60,1,0,0,1,0,1,1
Cadillac XT6 Premium Luxury AWD,23,0,1,1,0,0,0,0
Hyundai Tucson Value,23,0,1,0,0,1,1,0
BMW 435 Gran Coupe i xDrive,56,0,0,0,1,0,1,0
Lincoln Navigator Black Label,37,0,0,0,0,1,0,1
Toyota Tundra,32,0,0,1,1,1,1,1
Porsche Cayenne Base,43,0,0,0,1,0,0,0
Volvo XC60 T6 Dynamic,39,1,1,1,0,1,1,0
Mazda CX-5 Sport,25,0,1,0,1,1,0,0
Lincoln Continental Black Label,36,0,0,0,0,1,0,1
Nissan Maxima 3.5 SV,57,0,0,0,1,0,1,1
Volvo V60 Cross Country T5,37,1,0,1,0,0,0,0
Lincoln Navigator Base,35,1,0,0,1,0,1,1
Lexus GX 460 GX 460 Premium,33,0,1,1,1,0,1,1
Subaru Ascent Premium 8-Passenger,41,0,0,1,1,0,0,0
Volkswagen Atlas 3.6L SE w/Technology,52,0,1,0,0,0,1,0
Subaru Forester 2.5i,35,0,1,1,1,0,1,1
Mercedes-Benz GLE 350 Base,30,1,0,1,1,0,1,1
Lincoln Navigator L Select,41,0,1,0,1,0,0,0
BMW 740 i,19,1,0,0,1,1,1,1
Hyundai Palisade SE,32,0,0,0,1,1,0,1
Porsche Boxster S,48,0,1,0,1,0,0,0
Dodge Durango Citadel,47,0,1,0,1,1,1,1
Lexus RX 350 Base,32,0,1,1,1,1,1,1
Buick Encore Essence,57,0,0,0,0,0,0,0
Chevrolet Impala Premier 2LZ,50,0,0,0,1,1,1,1
Jaguar F-PACE 25t Prestige,44,1,0,1,1,1,1,0
Hyundai IONIQ 5 SE,48,1,1,1,1,1,1,0
Lexus RC 350 Base,28,0,0,0,1,0,1,0
Toyota RAV4 Limited,50,0,1,1,1,1,0,0
Dodge Charger SRT8,56,0,1,1,0,0,0,0
Volkswagen Atlas Cross Sport 2.0T SE w/Technology,19,0,1,1,1,1,1,1
Chevrolet Trailblazer LS,49,1,0,0,1,0,0,1
Chevrolet Silverado 1500 WT,36,0,1,1,0,0,0,0
Acura RDX Technology,19,1,1,1,0,0,0,1
Volkswagen Tiguan Sport,39,0,1,0,0,1,0,1
Mercedes-Benz GLE 350,56,1,0,0,1,1,0,0
Toyota Camry,27,0,1,0,0,0,0,1
Kia Soul GT-Line 2.0L,39,1,0,1,0,0,1,0
Mercury Mariner Premier I4 AWD 4dr SUV,55,1,1,0,1,1,1,0
Subaru Outback 2.5i,31,1,0,1,1,1,1,0
Jeep Cherokee Latitude,24,1,0,1,1,0,0,0
Hyundai Sonata SEL Plus,42,1,0,0,1,1,0,0
Subaru Forester Base (CVT),35,0,1,0,1,1,1,1
INFINITI Q50 3.0T Sport,18,1,1,0,1,1,0,1
BMW 128 128i,29,0,1,0,0,1,0,0
Ford Bronco Sport Big Bend,29,1,1,0,0,1,0,1
Volkswagen Tiguan 2.0T,41,0,0,1,0,0,1,0
BMW X5 sDrive40i,36,1,1,1,1,0,1,0
Subaru Crosstrek 2.0i,46,1,1,1,1,1,0,0
BMW 428 i xDrive,21,1,1,1,0,1,0,1
Volkswagen Passat 2.0T S,20,0,0,0,1,0,0,1
Toyota Supra 3.0,32,0,1,1,1,0,1,0
Subaru Outback Touring XT,45,1,1,1,1,0,1,0
Jaguar F-PACE 25t Premium,43,1,0,1,1,1,1,0
Toyota 4Runner SR5 4WD,24,1,0,1,0,0,1,0
BMW M235 Gran Coupe i xDrive,29,1,0,1,1,0,0,0
Toyota Prius Three,24,1,1,1,0,0,0,1
Toyota Tacoma SR5,49,1,1,1,1,0,1,0
Lincoln MKZ Reserve I,45,0,1,0,0,1,1,1
Toyota Prius LE,34,1,0,0,0,0,0,0
Acura RDX w/A-Spec Package,59,0,0,1,0,1,0,0
Mercedes-Benz SL 450 Base,50,1,0,1,1,1,1,0
Audi RS 5 2DR 2.9 TFSI QTRO,50,1,1,0,1,0,1,0
BMW 340 i xDrive,46,0,0,0,1,1,0,0
Toyota Camry XSE,34,0,0,0,1,1,0,1
Toyota Sequoia Platinum,41,0,0,1,0,0,0,1
GMC Terrain SLE,42,1,1,1,0,1,0,1
Ford Focus Titanium,34,0,0,1,1,1,1,1
Jaguar E-PACE SE,20,0,1,0,0,1,1,1
Mazda CX-5 Carbon Edition,26,1,1,0,0,1,0,0
Lincoln MKZ Standard,21,0,0,1,0,0,0,1
BMW X3 sDrive28i,44,0,0,1,1,0,1,1
Toyota Prius Limited,42,1,0,0,0,0,1,0
BMW 435 Gran Coupe i,35,1,0,1,1,0,0,0
Ford Mustang Mach-E Select,56,1,0,0,0,1,1,1
Porsche Cayenne S,50,0,0,0,0,0,1,0
Chevrolet Equinox 2LT,32,0,1,1,1,0,0,0
Mazda CX-5 Grand Touring,32,0,1,0,1,1,0,1
Chevrolet Impala LS Fleet,20,1,1,1,1,1,1,1
Ford EcoSport S,18,1,0,0,0,1,1,1
INFINITI QX50 Luxe,51,0,0,0,0,0,1,0
Tesla Model 3 Long Range,33,0,0,0,0,1,1,0
Nissan 370Z Sport,60,1,0,1,0,1,1,1
Ford Mustang EcoBoost Premium,19,1,0,0,0,1,0,1
RAM 1500 Lone Star,32,1,1,1,0,0,0,0
Chevrolet Suburban 1500 LT,43,0,0,1,1,1,0,0
Honda Odyssey EX-L,34,1,0,0,1,1,1,1
Audi A6 3.0t Sport,54,0,0,1,1,0,1,0
Mercedes-Benz CLA 250 CLA 250,51,0,0,1,1,0,0,0
Subaru Crosstrek 2.0i Premium,57,1,0,0,1,0,1,0
Chevrolet Captiva Sport 2LS,37,0,1,1,0,1,0,0
Cadillac XTS Luxury,59,0,0,1,0,1,0,1
Land Rover Range Rover Velar P380 SE R-Dynamic,26,0,0,1,0,0,0,0
Honda CR-V Touring,26,1,0,1,1,1,1,1
Toyota 4Runner TRD Off Road Premium,38,1,1,0,0,1,0,1
Chrysler 300 S,46,0,1,1,0,0,0,0
Lexus LX 570 Three-Row,30,1,0,0,1,1,0,1
Mercedes-Benz GLE-Class GLE 350 4MATIC,47,0,0,1,0,1,0,0
Lincoln Aviator Black Label AWD,42,0,1,1,1,1,1,0
Chevrolet Tahoe RST,42,0,1,0,1,1,1,0
Chevrolet Silverado 2500 LTZ H/D Crew Cab,44,1,1,0,0,1,0,0
Mercedes-Benz S-Class S 450,31,0,1,1,1,1,0,0
Jeep Wrangler JK Unlimited Sahara,21,0,1,1,1,1,1,1
Mercedes-Benz AMG C 63 Base,56,1,1,1,1,0,1,0
Mercedes-Benz CLS-Class CLS 550,34,1,1,0,0,1,0,0
Ford F-150,27,1,1,0,1,0,0,1
Subaru Outback 2.5i Premium,55,1,0,1,1,0,1,0
Ford Edge Sport,41,1,1,1,1,0,1,0
Toyota 4Runner SR5,25,1,0,0,0,1,1,1
BMW 528 i,26,0,1,1,0,1,1,0
Volkswagen Golf R 2.0T w/DCC & Navigation,52,0,1,0,0,1,1,1
Jeep Grand Cherokee L Overland,20,1,1,1,1,1,0,0
Hyundai Palisade Calligraphy,35,0,1,1,0,1,0,1
Cadillac Escalade Platinum Edition,58,0,0,0,1,0,1,1
Honda Accord LX 1.5T,18,1,0,0,0,1,1,0
Mitsubishi Outlander Sport 2.0 SE,49,1,1,1,0,0,0,0
Ford F-150 Platinum,50,0,0,1,0,0,0,0
GMC Yukon SLT,48,0,0,0,0,1,0,1
Audi Q5 2.0T Prestige,45,0,0,1,0,1,1,0
Honda HR-V EX-L w/Navigation,40,0,1,1,1,0,0,0
BMW X4 M40i,26,0,1,0,0,0,1,1
Land Rover Range Rover Velar P250 HSE R-Dynamic,20,0,1,0,0,1,1,0
Mercedes-Benz GLA-Class GLA 250 4MATIC,59,1,1,1,0,0,0,0
Subaru Forester,52,1,0,0,1,1,0,1
Ford Escape Limited,42,0,0,0,1,1,1,1
Cadillac SRX Luxury Collection,29,1,1,0,1,0,1,0
Lexus IS 350 F Sport,53,1,1,1,0,0,1,1
Audi SQ5 3.0T Premium Plus,46,0,0,1,0,1,0,1
Audi R8 5.2 quattro Plus,33,0,1,0,0,0,1,1
Mazda Mazda6 Sport,55,0,0,0,1,0,1,1
Land Rover Range Rover Velar P380 HSE R-Dynamic,60,1,0,1,0,0,1,0
Ford Mustang V6,57,1,0,1,1,0,0,1
Porsche 718 Boxster Base,31,1,1,0,0,1,1,0
GMC Yukon SLE,29,0,0,1,0,1,1,0
Lexus GX 460 460,54,1,1,1,1,1,0,1
Toyota Venza Limited,32,0,1,0,1,1,0,0
Toyota RAV4 Hybrid Hybrid Limited,44,1,0,1,1,0,1,0
RAM 1500 Classic Warlock,35,1,0,1,0,0,0,0
RAM 1500 Laramie,23,1,1,1,1,1,0,1
Audi A6 2.0T quattro Sport,46,0,1,0,1,0,1,0
Ford F-150 Lariat SuperCab,46,1,1,0,0,0,0,0
Toyota Highlander Base,41,0,1,0,0,0,1,0
Nissan Altima 2.5 S,59,0,1,1,0,0,1,1
Ford F-150 XLT SuperCrew,24,1,0,1,0,1,1,0
Ford Focus SE,57,1,0,0,0,1,1,0
Land Rover Range Rover SV Autobiography Dynamic,52,0,0,1,0,1,0,1
Volkswagen Jetta 1.4T S,18,1,0,1,1,1,0,1
Volvo XC40 T5 R-Design,47,1,0,0,0,1,0,0
Buick Regal Turbo Premium I,43,1,0,1,0,1,1,0
Chrysler 300 Limited,59,0,0,1,1,0,1,1
Toyota Sienna LE Auto Access Seat,29,0,0,0,0,1,1,1
Toyota Highlander Base Plus,55,0,1,0,1,1,0,0
Lexus RX 350 Base (A5),37,1,1,1,1,0,1,0
Chevrolet Traverse Premier,30,0,0,1,1,0,1,1
Audi R8 4.2,23,0,1,1,1,1,0,1
RAM 1500 Classic SLT,27,0,1,1,0,0,0,0
BMW 430 i,40,0,0,1,0,0,1,1
Tesla Model S 75,41,1,0,1,1,0,1,0
BMW X3 sDrive30i,22,1,1,0,0,0,0,0
Dodge Durango R/T,25,0,0,0,0,0,1,1
Chevrolet Silverado 1500 LT,46,0,0,1,0,1,1,0
Porsche Taycan 4S,58,1,0,1,0,1,0,0
Chevrolet Silverado 1500 1LT,43,1,1,0,0,0,0,0
Volkswagen Atlas 3.6L S,59,0,0,1,0,1,0,1
Ford ZX2,32,1,0,0,1,0,1,0
Mercedes-Benz AMG GLC 43 Base 4MATIC,30,0,1,0,1,0,0,1
Nissan Frontier S,50,0,0,0,1,0,0,1
Ford Expedition Max Limited,38,0,1,0,1,0,1,0
Honda Ridgeline RTL-E,49,1,0,1,1,1,1,1
Toyota Camry LE,55,1,0,0,0,0,0,1
Dodge Charger SXT,59,0,1,1,1,0,1,1
Kia Soul +,40,0,1,1,0,0,0,1
Hyundai Veloster Turbo,39,0,0,1,0,1,0,1
Honda Accord Sport 2.0T,33,1,1,1,0,1,1,1
Mercedes-Benz GLE 350 Base 4MATIC,41,1,1,1,1,1,1,0
Land Rover Discovery Sport HSE,35,0,0,0,1,0,1,1
Mercedes-Benz AMG GLE 43 4MATIC Coupe,54,0,0,1,0,0,0,0
GMC Terrain SLT,41,0,1,1,0,0,0,0
Genesis G80 3.8,18,0,1,1,0,1,0,1
Chevrolet Traverse LT Cloth,46,1,0,1,1,0,1,1
Kia Telluride S,23,0,0,1,1,0,0,1
Toyota Corolla XSE,27,0,1,0,0,1,1,1
Kia Optima SX Turbo,54,0,1,0,1,1,0,1
Dodge Charger GT,44,0,0,0,0,0,0,0
Land Rover Range Rover HSE,33,1,0,1,0,1,0,1
Chevrolet Tahoe Z71,37,1,0,1,0,0,0,0
Toyota Highlander LE Plus,60,1,0,0,0,1,1,0
Bentley Continental Flying Spur Speed,20,0,1,0,0,1,1,0
Mercedes-Benz S-Class S 560 4MATIC,36,0,0,1,1,0,1,0
Lincoln Nautilus Select,28,0,1,0,1,0,1,1
Cadillac XT4 Sport,27,0,1,1,1,1,1,0
BMW 435 i,44,0,0,1,1,0,1,0
Acura MDX 3.5L Technology & A-Spec Pkgs,28,0,1,1,1,1,0,1
Toyota Corolla S Plus,48,0,1,0,0,1,0,0
Tesla Model 3 Standard Range Plus,51,0,1,1,1,1,1,0
Mercedes-Benz E-Class E 400 4MATIC,25,0,0,0,1,1,0,0
Ford Ranger Lariat,35,1,0,0,1,0,0,1
Toyota RAV4 Hybrid XLE,48,1,0,0,1,1,0,1
Jaguar F-PACE 35t Premium,41,1,1,1,1,0,0,0
Toyota Tacoma TRD Pro,31,1,0,0,1,1,0,0
Toyota 4Runner Limited Nightshade,57,0,1,0,0,0,0,1
Lexus ES 330 Base (A5),42,1,0,1,0,1,0,1
Acura ILX,24,0,1,1,1,1,0,1
Hyundai Santa Fe SEL Plus 2.4,38,1,1,0,1,0,1,0
Lincoln MKX Select,60,1,0,1,0,0,0,0
Land Rover Range Rover Evoque SE Premium,58,0,1,1,0,1,1,1
Chevrolet Silverado 1500 Custom,22,0,1,1,1,1,1,0
Audi Q8 3.0T Premium,32,1,0,1,0,1,0,0
Audi A4 40 Premium Plus,58,1,1,1,0,0,0,1
Land Rover Range Rover HSE Westminster,49,0,1,0,1,1,0,1
Lamborghini Huracan LP610-4,56,1,0,1,0,1,0,0
Porsche 911 Targa 4,18,0,0,0,0,1,1,0
Jeep Wrangler Unlimited Rubicon,42,0,0,1,0,1,1,1
Land Rover Range Rover Evoque Pure,32,0,1,0,0,0,0,0
GMC Sierra 1500 Denali,40,0,1,1,1,0,0,1
Lincoln Aviator Reserve AWD,49,0,0,0,0,1,0,0
Ford Explorer XLT,26,0,1,1,1,0,0,0
Volvo S60 T5 Momentum,45,1,1,1,0,0,1,0
Hyundai Santa Fe Ultimate 2.4,35,1,0,0,0,0,0,0
Jeep Cherokee Trailhawk,26,0,0,1,1,1,0,0
Land Rover Range Rover Velar S,22,0,0,1,0,0,1,0
Volvo XC90 T6 Momentum 7 Passenger,28,0,0,1,0,1,0,1
Nissan Rogue Sport S,42,1,1,1,0,1,1,1
Audi Q5 45 Premium,50,0,0,1,1,1,1,1
Lexus LX 570 Base,37,0,1,0,0,1,1,1
Volkswagen Tiguan 2.0T SEL Premium R-Line,27,0,0,1,1,0,0,0
BMW X3 M Competition,39,1,0,0,0,1,0,0
Toyota Camry SE,57,0,0,1,0,1,1,0
Mercedes-Benz A-Class A 220,36,0,0,0,0,1,1,0
Chevrolet Camaro 1LT,26,0,0,1,1,0,1,0
Chevrolet Trailblazer ACTIV,42,1,1,0,0,0,0,0
Land Rover Discovery HSE,53,1,1,1,0,0,1,0
Subaru Ascent Touring 7-Passenger,45,1,0,1,0,1,1,0
Hyundai Tucson Sport,45,1,0,0,1,0,1,1
Land Rover Defender 110 HSE,19,1,1,0,1,0,0,0
Toyota Highlander XLE,41,1,1,0,1,0,1,1
Hyundai Sonata SEL,30,0,1,1,0,0,1,0
Ford Taurus SHO,18,0,0,1,1,1,1,1
Ford F-150 XL,53,0,1,0,1,0,1,1
Audi A6 55 Premium,31,1,1,1,0,0,1,0
Toyota Highlander Limited w/3rd Row,18,1,0,0,1,1,1,0
Mazda Mazda6 Touring,24,0,1,0,0,1,1,0
Mitsubishi Lancer Evolution GSR,44,1,0,1,0,1,1,1
Honda Odyssey Touring Elite,48,0,0,1,0,0,0,0
Maserati Ghibli S,26,0,0,1,1,0,1,1
Ford Mustang Premium,37,0,0,1,0,1,1,0
Volkswagen Passat 2.0T SEL,32,0,1,1,0,1,1,1
Toyota Tundra Limited,36,1,0,1,0,0,0,1
Volkswagen Arteon 2.0T SEL Premium R-Line,54,1,0,1,1,0,1,0
Audi e-tron Prestige,60,0,1,1,0,0,1,1
Toyota Camry XSE V6,43,0,0,1,1,0,1,0
Land Rover Range Rover,40,1,0,1,0,1,1,1
Audi SQ5 3.0T Premium,40,0,1,1,0,1,0,0
Acura MDX 3.5L w/Advance Package,18,1,1,1,1,0,1,0
Mitsubishi Outlander SEL,56,1,1,1,0,0,0,0
Kia Telluride SX,23,1,1,0,1,0,0,1
Land Rover Range Rover Sport 3.0L Supercharged SE,54,1,1,0,1,0,0,0
Lincoln Aviator Reserve RWD,60,0,1,1,0,1,0,1
Kia Sportage S,51,0,1,1,0,1,1,1
Jeep Renegade Sport,50,1,1,0,0,0,1,1
Toyota Corolla L,51,0,0,0,1,0,0,1
Chevrolet Corvette Stingray w/2LT,26,1,0,0,1,1,1,1
Hyundai Elantra Value Edition,50,0,0,1,0,0,0,0
Ford Fusion Hybrid Titanium,23,0,0,1,1,1,1,1
Mercedes-Benz S-Class S 550 4MATIC,57,1,0,1,0,0,0,1
Audi R8 5.2,31,1,1,0,1,0,1,1
Porsche 718 Cayman GTS,46,1,1,0,0,1,0,1
Mazda Mazda3 Touring,48,0,1,0,0,1,0,1
Buick Enclave 2XL,31,0,0,1,1,1,0,0
Mercedes-Benz G-Class G 550 4MATIC,54,1,1,1,0,0,1,1
Ford Explorer Limited,43,1,0,0,0,1,1,0
Kia Soul Base,52,1,1,0,1,0,0,0
Volkswagen Atlas Cross Sport 2.0T SE,36,1,1,0,1,1,1,1
Cadillac XT5 Luxury,56,0,0,0,1,1,0,0
Hyundai Kona SE,38,1,0,1,0,0,1,1
Toyota Sienna XLE Premium,40,0,1,1,0,1,0,0
Subaru Legacy 2.5i Limited,55,0,0,1,0,1,0,0
Chevrolet Blazer RS,25,0,0,1,1,1,1,0
Nissan Maxima 3.5 SR,50,0,0,1,0,1,1,1
BMW X5 M Base,25,0,1,1,1,1,0,0
Dodge Challenger SRT Hellcat,18,0,0,1,0,1,1,1
Cadillac ATS 2.0L Turbo,40,0,1,1,1,1,1,1
Nissan Titan SV,39,1,0,1,0,0,1,0
Ford F-150 Limited,55,0,0,1,0,1,1,0
Volkswagen Atlas 3.6L SEL,49,0,1,0,1,1,1,0
Acura TLX Type S,28,1,1,0,0,0,0,1
Subaru Crosstrek 2.0i Limited,25,0,1,1,0,1,1,0
Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,20,0,1,1,1,0,0,1
BMW M340 i,25,0,1,0,0,0,0,1
Porsche 911 Turbo S,40,1,0,0,1,0,0,1
Ford Mustang GT Premium,49,1,0,1,1,1,1,1
Ford Explorer Base,26,1,0,0,0,1,0,0
MINI Hardtop Cooper,48,1,1,1,0,1,1,0
Nissan Leaf SV,51,1,0,1,1,0,0,0
Porsche 911 Carrera 4 Coupe,22,0,0,1,1,1,1,1
Audi A3 2.0T Premium,24,0,1,0,1,0,1,1
Mercedes-Benz AMG GLE 53 Base,22,0,1,1,1,1,1,1
Mercedes-Benz E-Class E 300 Sport,35,0,1,0,1,1,1,1
Porsche Cayenne GTS,52,0,1,1,0,0,1,1
Honda Accord Sport 1.5T,30,1,1,0,1,0,0,0
Mercedes-Benz GLA 250 Base,23,0,0,0,1,0,0,1
